이름,연도,타율,출루,장타,OPS,경기당득점,경기당안타,경기당2루타,경기당3루타,경기당홈런,경기당루타,경기당타점,경기당도루,경기당볼넷,경기당삼진,경기당병살,경기당희생타
SK,2008,0.282,0.361,0.404,0.765,5.015873015873016,9.698412698412698,1.7063492063492063,0.18253968253968253,0.7063492063492064,13.88888888888889,4.690476190476191,1.3492063492063493,3.8968253968253967,5.833333333333333,0.7857142857142857,0.6349206349206349
해태,1993,0.251,0.33,0.368,0.698,4.071428571428571,8.174603174603174,1.3412698412698412,0.09523809523809523,0.753968253968254,11.968253968253968,3.6904761904761907,1.2777777777777777,3.5873015873015874,4.809523809523809,0.8492063492063492,0.5634920634920635
삼성,1985,0.276,0.355,0.417,0.772,5.0181818181818185,9.136363636363637,1.6454545454545455,0.2,0.8818181818181818,13.827272727272728,4.672727272727273,1.0545454545454545,3.709090909090909,4.2272727272727275,0.6727272727272727,0.8454545454545455
롯데,1996,0.274,0.34,0.393,0.733,4.492063492063492,9.214285714285714,1.6984126984126984,0.30158730158730157,0.5714285714285714,13.23015873015873,4.309523809523809,1.1031746031746033,3.1587301587301586,5.492063492063492,0.746031746031746,0.6507936507936508
삼성,2014,0.301,0.377,0.473,0.85,6.34375,10.5078125,1.859375,0.1796875,1.2578125,16.5,5.9609375,1.2578125,3.9609375,5.8046875,0.6875,0.59375
삼성,2013,0.283,0.359,0.416,0.776,5.2265625,9.6484375,1.65625,0.1328125,0.8828125,14.21875,4.875,0.7421875,3.5390625,6.390625,0.765625,0.65625
OB,1995,0.266,0.326,0.399,0.725,4.992063492063492,9.158730158730158,1.6111111111111112,0.2222222222222222,0.8412698412698413,13.738095238095237,4.642857142857143,0.9603174603174603,2.8333333333333335,5.880952380952381,0.7857142857142857,0.49206349206349204
롯데,2008,0.282,0.357,0.405,0.761,4.9523809523809526,9.523809523809524,1.5793650793650793,0.1746031746031746,0.7380952380952381,13.666666666666666,4.682539682539683,1.0555555555555556,3.5317460317460316,5.777777777777778,0.7698412698412699,0.49206349206349204
삼성,1991,0.272,0.357,0.405,0.761,5.071428571428571,9.031746031746032,1.4285714285714286,0.1984126984126984,0.8571428571428571,13.428571428571429,4.7063492063492065,1.0,4.0476190476190474,4.333333333333333,0.8412698412698413,0.6746031746031746
빙그레,1992,0.267,0.351,0.431,0.782,5.222222222222222,8.88888888888889,1.5158730158730158,0.23015873015873015,1.1587301587301588,14.341269841269842,4.920634920634921,0.8253968253968254,4.055555555555555,5.238095238095238,0.7619047619047619,0.42857142857142855
